new_agreementnumber	new_effectivedate	new_expirydate	new_settlementdate	new_jurprov	new_jurisdictioncode	new_employeecount	new_naicscodeid_firsttwodigit	new_publicprivate	new_naicscodeid	new_summaryreportavailabilityindicator	new_province	new_provinceenglish	new_provincefrench	new_citynameenglish	new_citynamefrench	new_cityprovincenameenglish	new_cityprovincenamefrench	new_unionid	new_unionnameenglish	new_unionnamefrench	new_affiliationtext	new_unionacronymenglish	new_unionacronymfrench	new_noccodeid	new_name_e	new_name_f	new_companyofficialnameeng	new_companyofficialnamefra	new_currentagreementindicator
14180-03	2014-12-28	2016-12-24	2015-01-08	F20	20	120	48	Private	484121	Yes	99	Multiprovince		Province wide	à l'échelle de la province	Alberta	Alberta	2801	The Petro Chem Driver's Association Inc	The Petro Chem Driver's Association Inc	8	Independent-natl.	Synd. ind. national	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Mantei's Transport Ltd.	Mantei's Transport Ltd.	Active
14181-02	2013-10-01	2019-03-31	2014-01-23	F20	20	180	48	Private	488119	Yes	59	British Columbia		Vancouver	Vancouver	British Columbia	Colombie-Britannique	270	International Association of Machinists and Aerospace Workers	Association internationale des machinistes et des travailleurs et travailleuses de l'aérospatiale	1	AFL-CIO/CLC	FAT-COI/CTC	6541	6541 - Security guards and related security service occupations	6541 - Agents/agentes de sécurité et personnel assimilé des services de sécurité	Securiguard Services Limited	Securiguard Services Limited	Current
14196-05	2016-01-01	2016-12-31	2016-01-01	F20	20	65	72	Private	722320	No	59	British Columbia		Kamloops	Kamloops	British Columbia	Colombie-Britannique	606	Unifor	Unifor	3	CLC	CTC	651	651 - Occupations in food and beverage service	651 - Personnel des services des aliments et des boissons	Rocky Mountain Catering Co. Ltd.	Rocky Mountain Catering Co. Ltd.	Active
14197-03	2016-01-01	2019-12-31	2016-07-12	F20	20	7	91	Public	913910	No	61	Northwest Territories		Yellowknife	Yellowknife	Northwest Territories	Territoires du Nord-Ouest	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	4423	4423 - By-law enforcement and other regulatory officers, n.e.c.	4423 - Agents/agentes d'application de règlements municipaux et autres agents/agentes de réglementat	City of Yellowknife	City of Yellowknife	Current
14199-02	2013-10-07	2018-12-31	2014-10-20	F20	20	160	48	Private	484121	Yes	59	British Columbia		Province wide	à l'échelle de la province	British Columbia	Colombie-Britannique	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Canada Cartage System	Canada Cartage System	Current
14201-03	2016-01-01	2017-12-31	2016-01-01	F20	20	46	49	Private	492110	No	12	Nova Scotia		Halifax	Halifax	Nova Scotia	Nouvelle-Écosse	2805	Federation of Communications-Transport Employees and General Workers of Canada	Fédération canadienne des employés des communications, transport et autres travailleurs	9	Independent-local	Synd. ind. local	7514	7514 - Delivery and courier service drivers	7514 - Chauffeurs-livreurs/chauffeuses-livreuses - services de livraison et de messagerie	Dynamex Canada Corp.	Dynamex Canada Corp.	Active
14203-02	2016-06-17	2022-03-26	2016-06-16	F20	20	10	91	Public	914110	No	24	Quebec		Wendake	Wendake	Quebec	Québec	543	Fédération des employées et employés de services publics inc.	Fédération des employées et employés de services publics inc.	4	CSN	CSN	6621	6621 - Service station attendants	6621 - Préposés/préposées de stations-service	Conseil de la Nation Huronne-Wendat	Conseil de la Nation Huronne-Wendat	Current
14204-02	2014-01-01	2018-12-31	2013-12-31	F20	20	19	48	Private	482114	No	48	Alberta		Spruce Grove	Spruce Grove	Alberta	Alberta	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Winalta Transport Ltd.	Winalta Transport Ltd.	Current
14208-02	2016-04-25	2019-04-24		F20	20	50	51	Public	515120	No	46	Manitoba		Winnipeg	Winnipeg	Manitoba	Manitoba	352	Communications Workers of America, Canada	Syndicat des communications d'Amérique, Canada	3	CLC	CTC	5225	5225 - Audio and video recording technicians	5225 - Techniciens/techniciennes en enregistrement audio et vidéo	Aboriginal Peoples Television Network Incorporated	Aboriginal Peoples Television Network Incorporated	Current
14216-03	2014-09-01	2017-08-31	2014-09-01	F20	20	14	48	Private	485410	No	35	Ontario		Markham	Markham	Ontario	Ontario	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	First Student ULC, O/A First Student Canada (Markham Branch - Mechanics)	First Student ULC, O/A First Student Canada (Markham Branch - Mechanics)	Active
