new_agreementnumber	new_effectivedate	new_expirydate	new_settlementdate	new_jurprov	new_jurisdictioncode	new_employeecount	new_naicscodeid_firsttwodigit	new_publicprivate	new_naicscodeid	new_summaryreportavailabilityindicator	new_province	new_provinceenglish	new_provincefrench	new_citynameenglish	new_citynamefrench	new_cityprovincenameenglish	new_cityprovincenamefrench	new_unionid	new_unionnameenglish	new_unionnamefrench	new_affiliationtext	new_unionacronymenglish	new_unionacronymfrench	new_noccodeid	new_name_e	new_name_f	new_companyofficialnameeng	new_companyofficialnamefra	new_currentagreementindicator
09207-06	2017-05-03	2021-05-02			20	34	48	Private	48811	No	48	Alberta		Edmonton	Edmonton	Alberta	Alberta		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7534	7534 - Air transport ramp attendants	7534 - Agents/agentes de piste dans le transport aérien	ASIG Canada Ltd. dba Menzies Aviation	ASIG Canada Ltd. dba Menzies Aviation	Current
09235-06	2017-05-03	2021-05-02			20	64	48	Private	48811	No	48	Alberta		Calgary	Calgary	Alberta	Alberta		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	ASIG Canada Ltd. dba Menzies Aviation	ASIG Canada Ltd. dba Menzies Aviation	Current
09324-09	2017-03-24	2019-03-23			20	6	48	Private	484121	No	35	Ontario		Province wide	à l'échelle de la province	Ontario	Ontario		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	TST Overland Express	TST Overland Express	Current
12542-07	2017-04-08	2022-04-07	2017-07-13		20	11	49	Public	492110	No	24	Quebec		Québec	Québec	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	1521	1521 - Shippers and receivers	1521 - Expéditeurs/expéditrices et réceptionnaires	Insurance Courier Services	Insurance Courier Services	Current
12980-06	2017-04-08	2022-04-07	2017-07-13		20	65	49	Private	492110	No	24	Quebec		Montréal	Montréal	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	1521	1521 - Shippers and receivers	1521 - Expéditeurs/expéditrices et réceptionnaires	Insurance Courrier Services, Division of Information Communication Services(I.C.S.) Inc.	Insurance Courrier Services, division de Information Communication Services(I.C.S.) Inc.	Current
13047-05	2017-05-01	2020-04-30			20	6	48	Private	485320	No	24	Quebec		Laval	Laval	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7512	7512 - Bus drivers, subway operators and other transit operators	7512 - Conducteurs/conductrices d'autobus et opérateurs/opératrices de métro et autres transports en	Galland Laurentides Inc.	Galland Laurentides Inc.	Current
13071-06	2017-04-01	2020-03-31			20	19	48	Private	484110	No	24	Quebec		Saint-Antonin	Saint-Antonin	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transport St-Viateur Inc.	Transport St-Viateur Inc.	Current
13292-04	2017-11-01	2022-04-08			20	25	49	Private	492210	No	24	Quebec		Montréal	Montréal	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7514	7514 - Delivery and courier service drivers	7514 - Chauffeurs-livreurs/chauffeuses-livreuses - services de livraison et de messagerie	Les Messageries du Grand Montréal inc.	Les Messageries du Grand Montréal inc.	Current
14415-02	2016-04-01	2019-03-31	2016-07-13		20	0	56	Private	561612	No	35	Ontario		Ottawa	Ottawa	Ontario	Ontario		United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	6541	6541 - Security guards and related security service occupations	6541 - Agents/agentes de sécurité et personnel assimilé des services de sécurité	Canadian Corps of Commissionaires (Ottawa Division)	Canadian Corps of Commissionaires (Ottawa Division)	Current
14140-03	2017-11-21	2022-12-02			20	80	48	Private	484121	No	24	Quebec		Donnacona	Donnacona	Quebec	Québec		Association syndicale des employé(e)s de production et de service (ASEPS)	Association syndicale des employé(e)s de production et de service (ASEPS)	9	Independent-local	Synd. ind. local	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transport Matte Ltd.	Transport Matte ltée	Current
14200-04	2017-03-07	2020-03-06			20	90	31	Private	311225	No	24	Quebec		Montréal	Montréal	Quebec	Québec		Unifor	Unifor	3	CLC	CTC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Sanimax EEI Inc.	Sanimax EEI inc.	Current
14358-03	2017-06-01	2021-05-31	2017-07-06		20	11	48	Private	484121	No	46	Manitoba		Winnipeg	Winnipeg	Manitoba	Manitoba		Unifor	Unifor	3	CLC	CTC	1521	1521 - Shippers and receivers	1521 - Expéditeurs/expéditrices et réceptionnaires	Clarke Transport Inc.	Clarke Transport Inc.	Current
07715-12	2018-01-01	2022-12-31	2017-04-19		20	950	48	Private	48211	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince		United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	1	1 - Business, finance and administration occupations	1 - Affaires, finance et administration	Canadian Pacific Railway	Chemin de fer Canadien Pacifique	Current
12519-07	2015-01-19	2016-03-31	2017-02-28		20	5	62	Public	622111	No	35	Ontario		Moose Factory 68	Moose Factory 68	Ontario	Ontario		Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	6541	6541 - Security guards and related security service occupations	6541 - Agents/agentes de sécurité et personnel assimilé des services de sécurité	Weeneebayko Health Ahtuskaywin (Weeneebayko General Hospital)	Weeneebayko Health Ahtuskaywin (Weeneebayko General Hospital)	Active
14707-02	2017-07-14	2020-07-13	2017-07-14		20	20	48	Private	484121	No	24	Quebec		Rougemont	Rougemont	Quebec	Québec	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Services d'administration P.C.R. Ltée	Services d'administration P.C.R. ltée	Current
13640-07	2016-04-01	2018-03-31			20	28	91	Public	914110	No	35	Ontario		Thunder Bay	Thunder Bay	Ontario	Ontario		Unifor	Unifor	3	CLC	CTC	3	3 - Health occupations	3 - Secteur de la santé	Anishnawbe Mushkiki Inc.	Anishnawbe Mushkiki Inc.	Active
13788-03	2017-08-28	2020-08-27			20	80	48	Private	484110	No	24	Quebec		Lévis	Lévis	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transport Besner	Transport Besner	Current
13608-04	2014-06-01	2017-05-31			20	18	31	Private	311214	No	48	Alberta		Alix	Alix	Alberta	Alberta		United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Rahr Malting Canada Ltd.	Rahr Malting Canada Ltd.	Active
12981-05	2017-04-08	2022-04-07	2017-07-13		20	2	49	Private	492110	No	24	Quebec		Trois-Rivières	Trois-Rivières	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Insurance Courier Services, Division de Information Communication Services (ICS) Inc.	Insurance Courier Services, Division de Information Communication Services (ICS) Inc.	Current
03872-14	2017-07-10	2020-04-30	2017-07-10		20	7	51	Private	515110	No	13	New Brunswick		Caraquet	Caraquet	New Brunswick	Nouveau-Brunswick		Fédération nationale des communications	Fédération nationale des communications	4	CSN	CSN	5225	5225 - Audio and video recording technicians	5225 - Techniciens/techniciennes en enregistrement audio et vidéo	Radio-Acadie Ltée, CJVA-AM, et Radio de la Baie Ltée, CKLE-FM	Radio-Acadie Ltée, CJVA-AM, et Radio de la Baie Ltée, CKLE-FM	Current
13871-04	2017-07-01	2020-06-30	2017-07-28		20	25	48	Private	485410	No	24	Quebec		Lévis	Lévis	Quebec	Québec	606	Unifor	Unifor	3	CLC	CTC	7512	7512 - Bus drivers, subway operators and other transit operators	7512 - Conducteurs/conductrices d'autobus et opérateurs/opératrices de métro et autres transports en	Autobus la Québécoise Inc.	Autobus la Québécoise Inc.	Current
03557-16	2016-04-01	2018-03-31			20	18	48	Private	484110	No	99	Multiprovince		Province wide	à l'échelle de la province	Manitoba	Manitoba		International Union of Operating Engineers	Union internationale des opérateurs-ingénieurs	1	AFL-CIO/CLC	FAT-COI/CTC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	H.M. Trimble & Sons (1983) Ltd.	H.M. Trimble & Sons (1983) Ltd.	Active
09531-12	2016-04-01	2018-03-31			20	68	48	Private	484122	No	99	Multiprovince		Province wide	à l'échelle de la province	Alberta	Alberta		International Union of Operating Engineers	Union internationale des opérateurs-ingénieurs	1	AFL-CIO/CLC	FAT-COI/CTC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	H.M. Trimble & Sons (1983) Ltd.	H.M. Trimble & Sons (1983) Ltd.	Active
03579-11	2017-11-01	2020-10-31	2017-08-03		20	1250	48	Private	484121	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince		United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	CANPAR Transport Ltd.	Transport CANPAR ltée	Current
12992-04	2017-11-19	2022-11-18			20	41	48	Private	484121	No	24	Quebec		Province wide	à l'échelle de la province	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	J.A.F. 2000 Inc.	J.A.F. 2000 inc.	Current
13194-05	2017-01-01	2020-12-31			20	54	41	Private	412110	No	60	Yukon Territory		Province wide	à l'échelle de la province	Yukon Territory	Yukon		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Superior Propane (Division of Superior Plus LP)	Superior Propane (Division of Superior Plus LP)	Current
10020-06	2011-01-01	2015-12-31			20	82	48	Private	484122	No	46	Manitoba		Winnipeg	Winnipeg	Manitoba	Manitoba		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Reimer Express Lines Ltd. (Winnipeg Terminal)	Reimer Express Lines Ltd.	Active
07718-11	2018-01-01	2022-12-31	2017-07-20		20	2050	48	Private	482113	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7531	7531 - Railway yard and track maintenance workers	7531 - Ouvriers/ouvrières de gares de triage et à l'entretien de la voie ferrée	Canadian Pacific Railway	Chemin de fer Canadien Pacifique	Current
12623-07					20	270	48	Private	488119	No	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince		Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	1211	1211 - Supervisors, general office and administrative support workers	1211 - Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif	NAV CANADA	NAV CANADA	Current
12907-05	2018-01-01	2022-12-31	2017-03-31		20	750	51	Private	517	Yes	24	Quebec		Province wide	à l'échelle de la province	Quebec	Québec		Canadian Union of Public Employees	Syndicat canadien de la fonction publique	3	CLC	CTC	7611	7611 - Construction trades helpers and labourers	7611 - Aides de soutien des métiers et manoeuvres en construction	TELUS Communications (Québec) Inc.	TELUS Communications (Québec) inc.	Current
13639-07	2018-01-01	2020-12-31			20	37	48	Private	484121	No	59	British Columbia		Province wide	à l'échelle de la province	British Columbia	Colombie-Britannique		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Ken Johnson Trucking Ltd.	Ken Johnson Trucking Ltd.	Current
13673-04	2018-01-01	2024-12-31			20	1	48	Private	484121	No	24	Quebec		Québec	Québec	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Gestion Trans-Route Inc.	Gestion Trans-Route Inc.	Current
08014-10	2014-01-01	2018-12-31			20	29	51	Private	515110	No	35	Ontario		Ottawa	Ottawa	Ontario	Ontario		Unifor	Unifor	3	CLC	CTC	5225	5225 - Audio and video recording technicians	5225 - Techniciens/techniciennes en enregistrement audio et vidéo	CHRO Television, Division of Bell Media Inc. (Pembroke and Ottawa)	CHRO Television, Division of Bell Media Inc. (Pembroke and Ottawa)	Current
14142-03	2015-01-01	2019-12-31	2017-05-09		20	8	48	Private	48311	No	10	Newfoundland and Labrador		St. John's	St. John's	Newfoundland and Labrador	Terre-Neuve-et-Labrador		International Union of Operating Engineers	Union internationale des opérateurs-ingénieurs	1	AFL-CIO/CLC	FAT-COI/CTC	2273	2273 - Deck officers, water transport	2273 - Officiers/officières de pont du transport par voies navigables	Cancrew Enterprises Limited	Cancrew Enterprises Limited	Current
03576-11	2016-04-08	2020-12-31	2016-04-08		20	620	48	Private	4841	Yes	99	Multiprovince		Province wide	à l'échelle de la province	Alberta	Alberta		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Canadian Freightways Limited	Canadian Freightways Limited	Current
10050-08	2017-07-01	2020-06-30			20	70	62	Public	624190	No	60	Yukon Territory		Whitehorse	Whitehorse	Yukon Territory	Yukon		Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	3	3 - Health occupations	3 - Secteur de la santé	Child Development Centre	Child Development Centre	Current
11875-07	2017-07-01	2019-06-30	2017-08-22		21	230	51	Public	519121	Yes	35	Ontario		Ottawa	Ottawa	Ontario	Ontario		Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	1411	1411 - General office support workers	1411 - Employés de soutien de bureau généraux/employées de soutien de bureau générales	National Gallery of Canada	Musée des beaux-arts du Canada	Current
12280-08	2017-07-01	2020-06-30	2017-08-18		23	8510	54	Private	5418	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince		Alliance of Canadian Cinema, Television and Radio Artists	Alliance of Canadian Cinema, Television and Radio Artists	3	CLC	CTC	5226	5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the perfor	5226 - Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et	Institute of Communications Agencies &  Association of Canadian Advertisers	Institute of Communications Agencies &  Association of Canadian Advertisers	Current
13840-03	2017-07-22	2021-07-21	2017-09-01		20	12	48	Private	484121	No	24	Quebec		Saint-Hugues	Saint-Hugues	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transport FTMA Inc.	Transport FTMA inc.	Current
13890-04	2017-07-01	2022-06-30			20	88	48	Private	484121	No	24	Quebec		Laval	Laval	Quebec	Québec		Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	1521	1521 - Shippers and receivers	1521 - Expéditeurs/expéditrices et réceptionnaires	Immeubles RB  Ltée	Immeubles RB  Ltée	Current
14346-03	2017-07-01	2020-06-30			20	15	48	Private	48311	No	10	Newfoundland and Labrador		St. John's	St. John's	Newfoundland and Labrador	Terre-Neuve-et-Labrador		Canadian Merchant Service Guild	Guilde de la marine marchande du Canada	8	Independent-natl.	Synd. ind. national	2273	2273 - Deck officers, water transport	2273 - Officiers/officières de pont du transport par voies navigables	Cancrew Enterprises Limited	Cancrew Enterprises Limited	Current
14715-04	2017-07-01	2018-06-30	2017-06-14		20	190	48	Private	484121	Yes	99	Multiprovince		Province wide	à l'échelle de la province	Alberta	Alberta		Northstar Employees' Association	Northstar Employees' Association	9	Independent-local	Synd. ind. local	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	North Star Transport Ltd.	North Star Transport Ltd.	Current
03871-10	2017-04-21	2021-05-31	2017-04-21		20	20	51	Private	5151	No	13	New Brunswick		Edmundston	Edmundston	New Brunswick	Nouveau-Brunswick		Fédération nationale des communications	Fédération nationale des communications	4	CSN	CSN	5225	5225 - Audio and video recording technicians	5225 - Techniciens/techniciennes en enregistrement audio et vidéo	Radio Edmundston Inc.	Radio Edmundston Inc.	Current
15055-02	2016-12-01	2018-11-30			20	24	72	Private	72111	No	60	Yukon Territory		Whitehorse	Whitehorse	Yukon Territory	Yukon		United Assn. of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada	Assoc. unie des compagnons et apprentis de l'industrie de la plomberie et de la tuyauterie des États-Unis et du Canada	1	AFL-CIO/CLC	FAT-COI/CTC	6	6 - Sales and service occupations	6 - Vente et services	River View Hotel Incorporated (Canadas Best Value Inn)	River View Hotel Incorporated (Canadas Best Value Inn)	Current
00158-11	2015-01-01	2017-12-31	2015-06-01	F20	20	650	21	Private	212299	Yes	46	Manitoba		Flin Flon	Flin Flon	Manitoba	Manitoba	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	8231	8231 - Underground production and development miners	8231 - Mineurs/mineuses d'extraction et de préparation, mines souterraines	Hudson Bay Mining and Smelting Co., Limited	Hudson Bay Mining and Smelting Co., Limited	Active
00249-13	2013-06-01	2016-05-31	2013-06-01	F20	20	31	21	Private	213117	No	61	Northwest Territories		Province wide	à l'échelle de la province	Northwest Territories	Territoires du Nord-Ouest	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	8231	8231 - Underground production and development miners	8231 - Mineurs/mineuses d'extraction et de préparation, mines souterraines	Foraco Drilling Ltd. - Western Division	Foraco Drilling Ltd. - Western Division	Active
00321-12	2014-05-01	2017-04-30	2014-03-15	F21	21	280	31	Public	311710	Yes	46	Manitoba		Winnipeg	Winnipeg	Manitoba	Manitoba	606	Unifor	Unifor	3	CLC	CTC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Freshwater Fish Marketing Corporation	Freshwater Fish Marketing Corporation	Active
00322-11	2014-05-01	2017-04-30	2014-10-01	F21	21	5	31	Public	311710	No	46	Manitoba		Winnipeg	Winnipeg	Manitoba	Manitoba	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	7611	7611 - Construction trades helpers and labourers	7611 - Aides de soutien des métiers et manoeuvres en construction	Freshwater Fish Marketing Corporation	Freshwater Fish Marketing Corporation	Active
00446-11	2013-05-01	2018-04-30	2014-02-07	F20	20	20	31	Private	311824	Yes	24	Quebec		Montréal	Montréal	Quebec	Québec	528	Fédération du commerce inc.	Fédération du commerce inc.	4	CSN	CSN	943	943 - Machine operators and related workers in pulp and paper production and wood processing and man	943 - Opérateurs/opératrices de machines dans la production des pâtes et papiers et dans la transfor	ADM Agri-Industries Ltée	ADM Agri-Industries Ltée	Active
00454-13	2014-03-01	2018-02-28	2014-03-01	F20	20	50	31	Private	311211	No	47	Saskatchewan		Saskatoon	Saskatoon	Saskatchewan	Saskatchewan	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	P&H Milling Group a Division of Parrish & Heimbecker Limited, Saskatoon	P&H Milling Group a Division of Parrish & Heimbecker Limited, Saskatoon	Active
00456-13	2012-01-01	2013-12-31	2012-05-30	F20	20	42	31	Private	311211	No	48	Alberta		Lethbridge	Lethbridge	Alberta	Alberta	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	943	943 - Machine operators and related workers in pulp and paper production and wood processing and man	943 - Opérateurs/opératrices de machines dans la production des pâtes et papiers et dans la transfor	P&H Milling Group - Lethbridge & New Life Feeds, divisions of Parrish & Heimbecker Limited	P&H Milling Group - Lethbridge & New Life Feeds, divisions of Parrish & Heimbecker Limited	Active
00458-12	2013-12-01	2017-11-30	2013-12-01	F20	20	55	31	Private	311211	No	35	Ontario		Port Colborne	Port Colborne	Ontario	Ontario	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	ADM Milling Co.	ADM Milling Co.	Active
00459-10	2010-02-27	2013-02-26	2010-02-27	F20	20	37	31	Private	311211	No	48	Alberta		Medicine Hat	Medicine Hat	Alberta	Alberta	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	ADM Milling Co.	ADM Milling Co.	Active
00460-10	2015-06-16	2019-04-30	2015-06-16	F20	20	65	31	Private	3112	No	24	Quebec		Montréal	Montréal	Quebec	Québec	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Ardent Mills ULC	Ardent Mills ULC	Current
00462-10	2013-09-26	2016-09-25	2013-09-26	F20	20	68	31	Private	311211	No	24	Quebec		Montréal	Montréal	Quebec	Québec	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	943	943 - Machine operators and related workers in pulp and paper production and wood processing and man	943 - Opérateurs/opératrices de machines dans la production des pâtes et papiers et dans la transfor	ADM Milling Co. Montréal	ADM Milling Co. Montréal	Active
00463-12	2014-11-01	2017-10-31	2014-12-10	F20	20	7	31	Private	311119	No	35	Ontario		Edwardsburgh/Cardinal	Edwardsburgh/Cardinal	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Masterfeeds	Masterfeeds	Active
00464-10	2015-08-01	2020-08-01	2015-08-01	F20	20	52	31	Private	3112	No	35	Ontario		Midland	Midland	Ontario	Ontario	110	Bakery, Confectionery, Tobacco Workers and Grain Millers International Union	Syndicat international des travailleurs et travailleuses de la boulangerie, confiserie, tabac et meunerie	1	AFL-CIO/CLC	FAT-COI/CTC	943	943 - Machine operators and related workers in pulp and paper production and wood processing and man	943 - Opérateurs/opératrices de machines dans la production des pâtes et papiers et dans la transfor	ADM Milling Co. (Flour)	ADM Milling Co. (Flour)	Current
00470-11	2014-05-15	2018-06-30	2014-05-15	F20	20	48	31	Private	31111	No	24	Quebec		Saint-Hyacinthe	Saint-Hyacinthe	Quebec	Québec	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Nutreco (Canada) Inc. (Shur-Gain)	Nutreco (Canada) Inc. (Shur-Gain)	Current
00479-13	2012-09-17	2015-09-16	2012-09-17	F20	20	22	31	Private	311119	No	12	Nova Scotia		Kings, Subd. A	Kings, Subd. A	Nova Scotia	Nouvelle-Écosse	383	National Automobile, Aerospace, Transportation and General Workers Union of Canada (CAW Canada)	Synd. nat. de l'automobile, de l'aérospatiale, du transport et des autres trav. et travailleuses du Canada (TCA Canada)	3	CLC	CTC	943	943 - Machine operators and related workers in pulp and paper production and wood processing and man	943 - Opérateurs/opératrices de machines dans la production des pâtes et papiers et dans la transfor	Co-Op Atlantic	Co-Op Atlantic	Active
00480-13	2013-02-01	2017-01-31	2014-01-23	F20	20	13	31	Private	311119	No	12	Nova Scotia		Truro	Truro	Nova Scotia	Nouvelle-Écosse	320	United Food and Commercial Workers Canada	Travailleurs et travailleuses unis de l'alimentation et du commerce du Canada	16	CtW/CLC	CtW/CLC	943	943 - Machine operators and related workers in pulp and paper production and wood processing and man	943 - Opérateurs/opératrices de machines dans la production des pâtes et papiers et dans la transfor	Co-Op Atlantic	Co-Op Atlantic	Active
00486-12	2013-09-07	2018-09-06	2013-09-07	F20	20	7	31	Private	311119	No	35	Ontario		Middlesex Centre	Middlesex Centre	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Masterfeeds	Masterfeeds	Current
01571-11	2013-07-01	2016-06-30	2013-07-05	F20	20	220	54	Private	541310	Yes	35	Ontario		Port Hope	Port Hope	Ontario	Ontario	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Cameco Corporation	Cameco Corporation	Active
01576-13	2014-01-01	2017-12-31	2016-01-15	F21	21	520	33	Public	339910	Yes	99	Multiprovince		Ottawa	Ottawa	Ontario	Ontario	599	Public Service Alliance of Canada	Alliance de la Fonction publique du Canada	3	CLC	CTC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Royal Canadian Mint	Monnaie royale canadienne	Active
01814-11	2015-06-02	2018-06-01	2015-06-12	F20	20	100	33	Private	332999	Yes	35	Ontario		Port Hope	Port Hope	Ontario	Ontario	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	9	9 - Occupations in manufacturing and utilities	9 - Fabrication et services d'utilité publique	Cameco Fuel Manufacturing Inc.	Cameco Fuel Manufacturing Inc.	Current
01924-13	2013-04-01	2016-03-31	2013-04-01	F20	20	80	33	Private	336410	No	35	Ontario		Province wide	à l'échelle de la province	Ontario	Ontario	270	International Association of Machinists and Aerospace Workers	Association internationale des machinistes et des travailleurs et travailleuses de l'aérospatiale	1	AFL-CIO/CLC	FAT-COI/CTC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Field Aviation Company Inc.	Field Aviation Company Inc.	Active
